Timestamp,Elapsed_Sec,Total_Sectors,Diff_Sectors,Diff_KB,Diff_MB
2026-02-26 14:29:53,749,17257010,56,28,0.02
2026-02-26 14:29:58,754,17257050,40,20,0.01
2026-02-26 14:30:01,757,17257098,48,24,0.02
2026-02-26 14:30:04,760,17257202,104,52,0.05
2026-02-26 14:30:11,767,17257226,24,12,0.01
2026-02-26 14:30:17,773,17257290,64,32,0.03
2026-02-26 14:30:22,778,17257474,184,92,0.08
2026-02-26 14:30:27,783,17257514,40,20,0.01
2026-02-26 14:30:32,788,17257570,56,28,0.02
2026-02-26 14:30:34,790,17257610,40,20,0.01
2026-02-26 14:30:39,795,17257634,24,12,0.01
2026-02-26 14:30:42,798,17257650,16,8,0.00
2026-02-26 14:30:45,801,17257706,56,28,0.02
2026-02-26 14:30:51,807,17257746,40,20,0.01
2026-02-26 14:30:52,808,17257834,88,44,0.04
2026-02-26 14:30:57,813,17257890,56,28,0.02
2026-02-26 14:31:01,817,17257898,8,4,0.00
2026-02-26 14:31:03,819,17258026,128,64,0.06
2026-02-26 14:31:08,824,17258058,32,16,0.01
2026-02-26 14:31:14,830,17258098,40,20,0.01
2026-02-26 14:31:17,833,17258114,16,8,0.00
2026-02-26 14:31:19,835,17258138,24,12,0.01
2026-02-26 14:31:23,839,17258162,24,12,0.01
2026-02-26 14:31:26,842,17258218,56,28,0.02
2026-02-26 14:31:28,844,17258322,104,52,0.05
2026-02-26 14:31:31,847,17258354,32,16,0.01
2026-02-26 14:31:33,849,17258418,64,32,0.03
2026-02-26 14:31:37,853,17258498,80,40,0.03
2026-02-26 14:31:42,858,17258538,40,20,0.01
2026-02-26 14:31:48,864,17258578,40,20,0.01
2026-02-26 14:31:53,869,17258650,72,36,0.03
2026-02-26 14:31:59,875,17258690,40,20,0.01
2026-02-26 14:32:01,877,17258698,8,4,0.00
2026-02-26 14:32:03,879,17258754,56,28,0.02
2026-02-26 14:32:04,880,17258842,88,44,0.04
2026-02-26 14:32:07,883,17258866,24,12,0.01
2026-02-26 14:32:09,885,17258922,56,28,0.02
2026-02-26 14:32:13,889,17258930,8,4,0.00
2026-02-26 14:32:15,891,17258970,40,20,0.01
2026-02-26 14:32:18,894,17258986,16,8,0.00
2026-02-26 14:32:20,896,17259042,56,28,0.02
2026-02-26 14:32:23,899,17259058,16,8,0.00
2026-02-26 14:32:26,902,17259146,88,44,0.04
2026-02-26 14:32:32,908,17259186,40,20,0.01
2026-02-26 14:32:33,909,17259226,40,20,0.01
2026-02-26 14:32:38,914,17259394,168,84,0.08
2026-02-26 14:32:43,919,17259474,80,40,0.03
